country,year,maternal_education_standardized,u5mr_standardized,prop_urban_standardized,vitA_standardized,incidence_standardized,mcv1_standardized
WSM,1982,0.033130257,-0.536731491,-1.150628621,0.306283909,0.694221971,-2.358068791
YEM,1982,-1.686578934,1.653004847,-1.327580777,1.514647204,0.796777189,-2.358068791
ZAF,1982,-0.031812076,0.155322109,0.084138056,0.200719739,0.350966966,-2.358068791
ZMB,1982,-0.92733146,1.248675938,-0.31695051,1.747092618,0.691134756,-2.358068791
ZWE,1982,-0.461517697,0.368844117,-1.050748562,1.376334269,0.469390096,-2.358068791
AFG,1983,-1.706355564,2.251169337,-1.305355336,0.333343792,1.242187995,-2.358068791
AGO,1983,-1.52701859,2.337486745,-0.85394586,1.367568748,0.860530207,-2.358068791
ALB,1983,0.21686883,-0.171775435,-0.55233407,0.89102501,0.460775254,-2.358068791
ARE,1983,-0.645669518,-0.739653116,1.495229557,-0.413724165,0.947022134,-2.358068791
ATG,1983,0.31348982,-0.927431336,-0.538532787,-0.855780905,0.449644186,-2.358068791
BDI,1983,-1.541581278,1.777180766,-1.883261629,0.595940782,1.210366558,-2.358068791
BEN,1983,-1.555764109,1.892270643,-0.783908833,2.481114339,0.91864762,-2.358068791
BFA,1983,-1.702368971,2.254198018,-1.616825185,2.22994391,1.008152547,-2.358068791
BGD,1983,-1.286572605,1.728721871,-1.355362579,0.274600659,0.941570386,-2.358068791
BGR,1983,1.11255416,-0.818398821,0.749422598,0.73002401,0.291427717,-2.358068791
BHR,1983,-0.858036601,-0.730567073,1.78626634,-0.818466689,0.260176975,-2.358068791
BHS,1983,0.723506562,-0.713909328,1.272885522,-0.952019445,0.547984037,-2.358068791
BLZ,1983,-0.251614455,-0.28232229,0.086154477,-0.639181526,0.931493572,-2.358068791
BOL,1983,-0.301199659,1.210817426,0.072039529,-0.498191474,0.679965352,-2.358068791
BRA,1983,-0.47677663,0.1250353,0.952812275,0.4276591,0.467976938,-2.358068791
BRB,1983,0.744577898,-0.789626352,-0.340475424,-0.932419512,0.420169185,-2.358068791
BTN,1983,-1.579538644,1.471283989,-1.574301104,0.684772554,0.875067249,-2.358068791
BWA,1983,-0.602562656,-0.221748671,-1.127193327,1.322374131,0.77892567,-2.358068791
CAF,1983,-1.64557887,1.584859525,-0.53835355,1.347235229,1.168698481,-2.358068791
CHN,1983,-0.515585363,-0.297465695,-1.135169393,-0.547252359,0.487869955,-2.358068791
CIV,1983,-1.448690488,1.259276321,-0.421311506,2.112089362,0.873777603,-2.358068791
CMR,1983,-1.037582756,1.298649174,-0.555739581,3.252328451,0.935272329,-2.358068791
COD,1983,-1.319988631,1.930129155,-0.853094482,0.906118942,1.165819101,-2.358068791
COG,1983,-1.12819139,0.361272415,0.168245221,3.000489003,0.867130315,-2.358068791
COK,1983,0.670813204,0.011300642,-0.406387002,-0.269704509,0.706312483,-2.358068791
COL,1983,-0.28375662,-0.40801255,0.844866531,-0.729126236,0.388430636,-2.358068791
COM,1983,-1.388883783,1.241104235,-1.00060689,1.808887822,0.845084846,-2.358068791
CPV,1983,-1.327000252,0.140178705,-0.83996534,-1.417905393,0.998861769,-2.358068791
CRI,1983,0.145346257,-0.800226735,-0.121984993,-0.772122073,0.481006427,-2.358068791
CUB,1983,0.317336688,-0.856257333,1.032707361,-1.155621491,0.018729836,-2.358068791
DJI,1983,-1.494366677,1.009410142,1.237889413,0.022934819,0.777742648,-2.358068791
DMA,1983,0.971645588,-0.830513545,0.196206261,-0.826598337,0.533208091,-2.358068791
DOM,1983,-0.28256416,0.03266053,0.288782395,-0.164869539,0.568716281,-2.358068791
DZA,1983,-1.259478117,0.412759991,-0.030887567,-0.250466337,0.850446701,-2.358068791
ECU,1983,0.003062871,0.035689211,0.124556097,0.016147798,0.51914787,-2.358068791
EGY,1983,-0.987283936,0.959436906,-0.133187332,-0.558846646,0.678742439,-2.358068791
