country,year,u5mr
BIH,2025,6.08
BLR,2025,3.19
BLZ,2025,12.67
BOL,2025,27.08
BRA,2025,15.34
BTN,2025,29.45
BWA,2025,47.27
CAF,2025,109.78
CHN,2025,8.14
CIV,2025,82.69
CMR,2025,76.93
COD,2025,86.3
COG,2025,54.06
COL,2025,14.01
COM,2025,65.39
CPV,2025,15.34
CRI,2025,8.44
CUB,2025,5.35
DJI,2025,59.52
DMA,2025,36.04
DOM,2025,35.43
DZA,2025,23.99
ECU,2025,13.8
EGY,2025,20.7
ERI,2025,41.81
ETH,2025,52.31
FJI,2025,27.7
FSM,2025,26.16
GAB,2025,44.28
GEO,2025,9.78
GHA,2025,47.78
GIN,2025,100.92
GMB,2025,52.73
GNB,2025,81.97
GNQ,2025,83.62
GRD,2025,16.99
GTM,2025,25.23
GUY,2025,30.17
HND,2025,17.3
HTI,2025,64.05
IDN,2025,24.51
IND,2025,35.43
IRN,2025,13.8
IRQ,2025,26.88
JAM,2025,14.11
JOR,2025,15.96
KAZ,2025,10.4
KEN,2025,44.28
KGZ,2025,18.85
KHM,2025,27.39
KIR,2025,52.73
LAO,2025,47.06
LBN,2025,7.41
LBR,2025,82.8
LBY,2025,11.84
LCA,2025,24.72
LKA,2025,7.41
LSO,2025,93.61
MAR,2025,20.08
MDA,2025,15.24
MDG,2025,53.45
MDV,2025,7.21
MEX,2025,14.52
MHL,2025,32.54
MKD,2025,7
MLI,2025,97.01
MMR,2025,46.55
MNE,2025,2.68
MNG,2025,16.48
MOZ,2025,75.07
MRT,2025,75.18
MWI,2025,41.81
MYS,2025,8.86
NAM,2025,43.15
NER,2025,82.69
NGA,2025,120.38
NIC,2025,17.09
NPL,2025,30.17
PAK,2025,69.31
PER,2025,13.7
PHL,2025,27.91
PNG,2025,46.65
PRK,2025,17.82
PRY,2025,20.08
PSE,2025,17.51
RUS,2025,5.97
RWA,2025,43.15
SDN,2025,60.14
SEN,2025,40.88
SLB,2025,20.6
SLE,2025,115.23
SLV,2025,13.7
SOM,2025,121.83
SRB,2025,5.87
SSD,2025,100.82
STP,2025,17.51
SUR,2025,18.64
SWZ,2025,49.43
SYR,2025,22.86
TCD,2025,116.88
TGO,2025,68.48
THA,2025,9.27
TJK,2025,34.29
TKM,2025,43.66
TLS,2025,45
TON,2025,12.05
TUN,2025,17.4
TUR,2025,10.4
TUV,2025,23.38
TZA,2025,52
UGA,2025,46.65
UKR,2025,8.65
UZB,2025,15.24
VCT,2025,15.04
VEN,2025,24.92
VNM,2025,21.73
VUT,2025,26.36
WSM,2025,17.92
YEM,2025,63.33
ZAF,2025,33.98
ZMB,2025,66.01
ZWE,2025,55.82
AFG,2026,60.1
AGO,2026,74.2
ALB,2026,9.7
ARG,2026,9.1
ARM,2026,11.5
AZE,2026,20.4
BDI,2026,56.6
BEN,2026,88.4
BFA,2026,87.8
BGD,2026,30.7
BGR,2026,6.6
BIH,2026,5.9
BLR,2026,3.1
BLZ,2026,12.3
BOL,2026,26.3
BRA,2026,14.9
BTN,2026,28.6
BWA,2026,45.9
CAF,2026,106.6
CHN,2026,7.9
CIV,2026,80.3
CMR,2026,74.7
COD,2026,83.8
COG,2026,52.5
COL,2026,13.6
COM,2026,63.5
CPV,2026,14.9
CRI,2026,8.2
CUB,2026,5.2
DJI,2026,57.8
DMA,2026,35
DOM,2026,34.4
DZA,2026,23.3
ECU,2026,13.4
EGY,2026,20.1
ERI,2026,40.6
ETH,2026,50.8
FJI,2026,26.9
FSM,2026,25.4
GAB,2026,43
GEO,2026,9.5
GHA,2026,46.4
GIN,2026,98
GMB,2026,51.2
GNB,2026,79.6
GNQ,2026,81.2
GRD,2026,16.5
GTM,2026,24.5
GUY,2026,29.3
HND,2026,16.8
HTI,2026,62.2
IDN,2026,23.8
IND,2026,34.4
IRN,2026,13.4
IRQ,2026,26.1
JAM,2026,13.7
JOR,2026,15.5
KAZ,2026,10.1
KEN,2026,43
KGZ,2026,18.3
KHM,2026,26.6
KIR,2026,51.2
LAO,2026,45.7
LBN,2026,7.2
LBR,2026,80.4
LBY,2026,11.5
LCA,2026,24
LKA,2026,7.2
LSO,2026,90.9
MAR,2026,19.5
MDA,2026,14.8
MDG,2026,51.9
MDV,2026,7
MEX,2026,14.1
MHL,2026,31.6
MKD,2026,6.8
MLI,2026,94.2
MMR,2026,45.2
MNE,2026,2.6
MNG,2026,16
MOZ,2026,72.9
MRT,2026,73
MWI,2026,40.6
MYS,2026,8.6
NAM,2026,41.9
NER,2026,80.3
NGA,2026,116.9
NIC,2026,16.6
NPL,2026,29.3
PAK,2026,67.3
PER,2026,13.3
PHL,2026,27.1
PNG,2026,45.3
PRK,2026,17.3
PRY,2026,19.5
PSE,2026,17
RUS,2026,5.8
RWA,2026,41.9
SDN,2026,58.4
SEN,2026,39.7
SLB,2026,20
SLE,2026,111.9
SLV,2026,13.3
SOM,2026,118.3
SRB,2026,5.7
SSD,2026,97.9
STP,2026,17
SUR,2026,18.1
SWZ,2026,48
SYR,2026,22.2
TCD,2026,113.5
TGO,2026,66.5
THA,2026,9
TJK,2026,33.3
TKM,2026,42.4
TLS,2026,43.7
TON,2026,11.7
TUN,2026,16.9
TUR,2026,10.1
TUV,2026,22.7
TZA,2026,50.5
UGA,2026,45.3
UKR,2026,8.4
UZB,2026,14.8
VCT,2026,14.6
VEN,2026,24.2
VNM,2026,21.1
VUT,2026,25.6
WSM,2026,17.4
YEM,2026,61.5
ZAF,2026,33
ZMB,2026,64.1
ZWE,2026,54.2
AFG,2027,60.1
AGO,2027,74.2
ALB,2027,9.7
ARG,2027,9.1
ARM,2027,11.5
AZE,2027,20.4
BDI,2027,56.6
BEN,2027,88.4
BFA,2027,87.8
BGD,2027,30.7
BGR,2027,6.6
BIH,2027,5.9
BLR,2027,3.1
BLZ,2027,12.3
BOL,2027,26.3
BRA,2027,14.9
BTN,2027,28.6
BWA,2027,45.9
CAF,2027,106.6
CHN,2027,7.9
CIV,2027,80.3
CMR,2027,74.7
COD,2027,83.8
COG,2027,52.5
COL,2027,13.6
COM,2027,63.5
CPV,2027,14.9
CRI,2027,8.2
CUB,2027,5.2
DJI,2027,57.8
DMA,2027,35
DOM,2027,34.4
DZA,2027,23.3
ECU,2027,13.4
EGY,2027,20.1
ERI,2027,40.6
ETH,2027,50.8
FJI,2027,26.9
FSM,2027,25.4
GAB,2027,43
GEO,2027,9.5
GHA,2027,46.4
GIN,2027,98
GMB,2027,51.2
GNB,2027,79.6
GNQ,2027,81.2
GRD,2027,16.5
GTM,2027,24.5
GUY,2027,29.3
HND,2027,16.8
HTI,2027,62.2
IDN,2027,23.8
IND,2027,34.4
IRN,2027,13.4
IRQ,2027,26.1
JAM,2027,13.7
JOR,2027,15.5
KAZ,2027,10.1
KEN,2027,43
KGZ,2027,18.3
KHM,2027,26.6
KIR,2027,51.2
LAO,2027,45.7
LBN,2027,7.2
LBR,2027,80.4
LBY,2027,11.5
LCA,2027,24
LKA,2027,7.2
LSO,2027,90.9
MAR,2027,19.5
MDA,2027,14.8
MDG,2027,51.9
MDV,2027,7
MEX,2027,14.1
MHL,2027,31.6
MKD,2027,6.8
MLI,2027,94.2
MMR,2027,45.2
MNE,2027,2.6
MNG,2027,16
MOZ,2027,72.9
MRT,2027,73
MWI,2027,40.6
MYS,2027,8.6
NAM,2027,41.9
NER,2027,80.3
NGA,2027,116.9
NIC,2027,16.6
NPL,2027,29.3
PAK,2027,67.3
PER,2027,13.3
PHL,2027,27.1
PNG,2027,45.3
PRK,2027,17.3
PRY,2027,19.5
PSE,2027,17
RUS,2027,5.8
RWA,2027,41.9
SDN,2027,58.4
SEN,2027,39.7
SLB,2027,20
SLE,2027,111.9
SLV,2027,13.3
SOM,2027,118.3
SRB,2027,5.7
SSD,2027,97.9
STP,2027,17
SUR,2027,18.1
SWZ,2027,48
SYR,2027,22.2
TCD,2027,113.5
TGO,2027,66.5
THA,2027,9
TJK,2027,33.3
TKM,2027,42.4
TLS,2027,43.7
TON,2027,11.7
TUN,2027,16.9
TUR,2027,10.1
TUV,2027,22.7
TZA,2027,50.5
UGA,2027,45.3
UKR,2027,8.4
UZB,2027,14.8
VCT,2027,14.6
VEN,2027,24.2
VNM,2027,21.1
VUT,2027,25.6
WSM,2027,17.4
YEM,2027,61.5
ZAF,2027,33
ZMB,2027,64.1
ZWE,2027,54.2
AFG,2028,60.1
AGO,2028,74.2
ALB,2028,9.7
ARG,2028,9.1
ARM,2028,11.5
AZE,2028,20.4
BDI,2028,56.6
BEN,2028,88.4
BFA,2028,87.8
BGD,2028,30.7
BGR,2028,6.6
BIH,2028,5.9
BLR,2028,3.1
BLZ,2028,12.3
BOL,2028,26.3
BRA,2028,14.9
BTN,2028,28.6
BWA,2028,45.9
CAF,2028,106.6
CHN,2028,7.9
CIV,2028,80.3
CMR,2028,74.7
COD,2028,83.8
COG,2028,52.5
COL,2028,13.6
COM,2028,63.5
CPV,2028,14.9
CRI,2028,8.2
CUB,2028,5.2
DJI,2028,57.8
DMA,2028,35
DOM,2028,34.4
DZA,2028,23.3
ECU,2028,13.4
EGY,2028,20.1
ERI,2028,40.6
ETH,2028,50.8
FJI,2028,26.9
FSM,2028,25.4
GAB,2028,43
GEO,2028,9.5
GHA,2028,46.4
GIN,2028,98
GMB,2028,51.2
GNB,2028,79.6
GNQ,2028,81.2
GRD,2028,16.5
GTM,2028,24.5
GUY,2028,29.3
HND,2028,16.8
HTI,2028,62.2
IDN,2028,23.8
IND,2028,34.4
IRN,2028,13.4
IRQ,2028,26.1
JAM,2028,13.7
JOR,2028,15.5
KAZ,2028,10.1
KEN,2028,43
KGZ,2028,18.3
KHM,2028,26.6
KIR,2028,51.2
LAO,2028,45.7
LBN,2028,7.2
LBR,2028,80.4
LBY,2028,11.5
LCA,2028,24
LKA,2028,7.2
LSO,2028,90.9
MAR,2028,19.5
MDA,2028,14.8
MDG,2028,51.9
MDV,2028,7
MEX,2028,14.1
MHL,2028,31.6
MKD,2028,6.8
MLI,2028,94.2
MMR,2028,45.2
MNE,2028,2.6
MNG,2028,16
MOZ,2028,72.9
MRT,2028,73
MWI,2028,40.6
MYS,2028,8.6
NAM,2028,41.9
NER,2028,80.3
NGA,2028,116.9
NIC,2028,16.6
NPL,2028,29.3
PAK,2028,67.3
PER,2028,13.3
PHL,2028,27.1
PNG,2028,45.3
PRK,2028,17.3
PRY,2028,19.5
PSE,2028,17
RUS,2028,5.8
RWA,2028,41.9
SDN,2028,58.4
SEN,2028,39.7
SLB,2028,20
SLE,2028,111.9
SLV,2028,13.3
SOM,2028,118.3
SRB,2028,5.7
SSD,2028,97.9
STP,2028,17
SUR,2028,18.1
SWZ,2028,48
SYR,2028,22.2
TCD,2028,113.5
TGO,2028,66.5
THA,2028,9
TJK,2028,33.3
TKM,2028,42.4
TLS,2028,43.7
TON,2028,11.7
TUN,2028,16.9
TUR,2028,10.1
TUV,2028,22.7
TZA,2028,50.5
UGA,2028,45.3
UKR,2028,8.4
UZB,2028,14.8
VCT,2028,14.6
VEN,2028,24.2
VNM,2028,21.1
VUT,2028,25.6
WSM,2028,17.4
YEM,2028,61.5
ZAF,2028,33
ZMB,2028,64.1
ZWE,2028,54.2
AFG,2029,60.1
AGO,2029,74.2
ALB,2029,9.7
ARG,2029,9.1
ARM,2029,11.5
AZE,2029,20.4
BDI,2029,56.6
BEN,2029,88.4
BFA,2029,87.8
BGD,2029,30.7
BGR,2029,6.6
BIH,2029,5.9
BLR,2029,3.1
BLZ,2029,12.3
BOL,2029,26.3
BRA,2029,14.9
BTN,2029,28.6
BWA,2029,45.9
CAF,2029,106.6
CHN,2029,7.9
CIV,2029,80.3
CMR,2029,74.7
COD,2029,83.8
COG,2029,52.5
COL,2029,13.6
COM,2029,63.5
CPV,2029,14.9
CRI,2029,8.2
CUB,2029,5.2
DJI,2029,57.8
DMA,2029,35
DOM,2029,34.4
DZA,2029,23.3
ECU,2029,13.4
EGY,2029,20.1
ERI,2029,40.6
ETH,2029,50.8
FJI,2029,26.9
FSM,2029,25.4
GAB,2029,43
GEO,2029,9.5
GHA,2029,46.4
GIN,2029,98
GMB,2029,51.2
GNB,2029,79.6
GNQ,2029,81.2
GRD,2029,16.5
GTM,2029,24.5
GUY,2029,29.3
HND,2029,16.8
HTI,2029,62.2
IDN,2029,23.8
IND,2029,34.4
IRN,2029,13.4
IRQ,2029,26.1
JAM,2029,13.7
JOR,2029,15.5
KAZ,2029,10.1
KEN,2029,43
KGZ,2029,18.3
KHM,2029,26.6
KIR,2029,51.2
LAO,2029,45.7
LBN,2029,7.2
LBR,2029,80.4
LBY,2029,11.5
LCA,2029,24
LKA,2029,7.2
LSO,2029,90.9
MAR,2029,19.5
MDA,2029,14.8
MDG,2029,51.9
MDV,2029,7
MEX,2029,14.1
MHL,2029,31.6
MKD,2029,6.8
MLI,2029,94.2
MMR,2029,45.2
MNE,2029,2.6
MNG,2029,16
MOZ,2029,72.9
MRT,2029,73
MWI,2029,40.6
