country,year,vitA
VEN,2025,0.07
VNM,2025,0.07
VUT,2025,0.15
WSM,2025,0.11
YEM,2025,0.16
ZAF,2025,0.13
ZMB,2025,0.18
ZWE,2025,0.15
AFG,2026,0.14
AGO,2026,0.13
ALB,2026,0.15
ARG,2026,0.05
ARM,2026,0
AZE,2026,0.06
BDI,2026,0.16
BEN,2026,0.23
BFA,2026,0.22
BGD,2026,0.08
BGR,2026,0.13
BIH,2026,0.13
BLR,2026,0.01
BLZ,2026,0.04
BOL,2026,0.05
BRA,2026,0.13
BTN,2026,0.1
BWA,2026,0.13
CAF,2026,0.21
CHN,2026,0.05
CIV,2026,0.19
CMR,2026,0.21
COD,2026,0.21
COG,2026,0.22
COL,2026,0.04
COM,2026,0.19
CPV,2026,0.01
CRI,2026,0.04
CUB,2026,0.02
DJI,2026,0.05
DMA,2026,0.04
DOM,2026,0.06
DZA,2026,0.04
ECU,2026,0.08
EGY,2026,0.03
ERI,2026,0.18
ETH,2026,0.26
FJI,2026,0.08
FSM,2026,0.17
GAB,2026,0.11
GEO,2026,0.06
GHA,2026,0.21
GIN,2026,0.19
GMB,2026,0.21
GNB,2026,0.26
GNQ,2026,0.12
GRD,2026,0.05
GTM,2026,0.06
GUY,2026,0.06
HND,2026,0.05
HTI,2026,0.13
IDN,2026,0.15
IND,2026,0.19
IRN,2026,0.02
IRQ,2026,0.08
JAM,2026,0.03
JOR,2026,0.08
KAZ,2026,0.12
KEN,2026,0.23
KGZ,2026,0.07
KHM,2026,0.09
KIR,2026,0.19
LAO,2026,0.14
LBN,2026,0.04
LBR,2026,0.17
LBY,2026,0.04
LCA,2026,0.04
LKA,2026,0.09
LSO,2026,0.2
MAR,2026,0.11
MDA,2026,0.01
MDG,2026,0.18
MDV,2026,0.04
MEX,2026,0.12
MHL,2026,0.17
MKD,2026,0.12
MLI,2026,0.21
MMR,2026,0.09
MNE,2026,0.12
MNG,2026,0.11
MOZ,2026,0.2
MRT,2026,0.17
