country,year,mcv1
SEN,2028,0.93
SLB,2028,0.84
SLE,2028,0.96
SLV,2028,0.85
SOM,2028,0.48
SRB,2028,0.91
SSD,2028,0.51
STP,2028,0.96
SUR,2028,0.67
SWZ,2028,0.84
SYR,2028,0.68
TCD,2028,0.43
TGO,2028,0.78
THA,2028,0.96
TJK,2028,0.98
TKM,2028,0.99
TLS,2028,0.88
TON,2028,0.99
TUN,2028,0.98
TUR,2028,0.97
TUV,2028,0.96
TZA,2028,0.92
UGA,2028,0.91
UKR,2028,0.96
UZB,2028,0.98
VCT,2028,0.99
VEN,2028,0.96
VNM,2028,0.96
VUT,2028,0.83
WSM,2028,0.96
YEM,2028,0.7
ZAF,2028,0.86
ZMB,2028,0.96
ZWE,2028,0.88
AFG,2029,0.67
AGO,2029,0.54
ALB,2029,0.96
ARG,2029,0.9
ARM,2029,0.96
AZE,2029,0.98
BDI,2029,0.96
BEN,2029,0.71
BFA,2029,0.92
BGD,2029,0.97
BGR,2029,0.96
BIH,2029,0.71
BLR,2029,0.98
BLZ,2029,0.96
BOL,2029,0.83
BRA,2029,0.96
BTN,2029,0.97
BWA,2029,0.97
CAF,2029,0.43
CHN,2029,0.99
CIV,2029,0.77
CMR,2029,0.63
COD,2029,0.68
COG,2029,0.77
COL,2029,0.96
COM,2029,0.95
CPV,2029,0.98
CRI,2029,0.96
CUB,2029,0.99
DJI,2029,0.87
DMA,2029,0.96
DOM,2029,0.96
DZA,2029,0.84
ECU,2029,0.87
EGY,2029,0.96
ERI,2029,0.96
ETH,2029,0.61
FJI,2029,0.96
FSM,2029,0.82
GAB,2029,0.65
GEO,2029,0.99
GHA,2029,0.96
GIN,2029,0.49
GMB,2029,0.89
GNB,2029,0.83
GNQ,2029,0.56
GRD,2029,0.96
GTM,2029,0.95
GUY,2029,0.98
HND,2029,0.94
HTI,2029,0.68
IDN,2029,0.92
IND,2029,0.96
IRN,2029,0.99
IRQ,2029,0.86
JAM,2029,0.96
JOR,2029,0.91
KAZ,2029,0.99
KEN,2029,0.94
KGZ,2029,0.96
KHM,2029,0.88
KIR,2029,0.96
LAO,2029,0.87
LBN,2029,0.86
LBR,2029,0.71
LBY,2029,0.77
LCA,2029,0.96
LKA,2029,0.99
LSO,2029,0.95
MAR,2029,0.99
MDA,2029,0.97
MDG,2029,0.58
